Coord_X,Coord_Y,Elevation,Slope,Dist_to_Water,Landslide_Label
103.70299861897637,22.536080448470642,787.5471,5.3370757,675.1558219641032,0
103.67928309547561,22.754371062511687,140.79155,9.161157,385.56503637585973,0
103.71889879950528,22.4854154664463,1026.3406,13.237275,3296.9524189841045,0
103.91347389004558,22.503202109071868,89.89989,2.7315133,128.71947947610948,0
103.90754500917039,22.543895791442484,90.296745,3.7047918,514.4225149408663,0
103.63589446725264,22.47652214513352,1393.9839,10.428949,1902.5065879125714,0
103.72240222911336,22.505358065753757,946.33704,8.438361,2216.737944671382,0
103.69410529766358,22.705592542583997,484.1592,10.962566,2178.4385646430874,0
103.74477027968793,22.686727921617486,117.79259,8.2891,483.35609489498444,0
103.60948399789953,22.591057343858758,2066.8918,10.785376,3117.363812096054,0
103.5978957307344,22.70155012380546,1062.8485,10.937009,2935.058905561554,0
103.86200042426553,22.556831531533806,276.6837,7.6413713,1571.5354028517397,0
103.66715583914001,22.457388029581775,1281.8206,4.413511,3180.51152943677,0
103.61783833004185,22.74439976285796,356.1097,8.379996,1480.5254702882567,0
103.66176594743528,22.64306979880928,1693.8419,1.0048484,4699.201231461984,0
103.64128435895736,22.694812759174564,1097.1715,13.097522,6777.506067387759,0
103.72536666955095,22.710173950533008,122.0498,11.166529,998.7810424533297,0
103.7234802074543,22.706401026339705,172.29903,10.812831,1336.7303343640287,0
103.69760872727166,22.74062683866466,180.29425,6.224237,568.6236838082954,0
103.83639843866813,22.56087395031234,610.93115,10.584739,3678.045512281376,0
103.84475277081043,22.538775394323004,336.60516,12.769899,3620.2583003883346,0
103.90943147126704,22.544434780612956,118.66085,9.247961,337.87076321477934,0
103.69464428683406,22.73604543071565,324.2367,4.212468,1094.1063705085012,0
103.64209284271307,22.76730680260301,491.1543,13.242516,2199.0013737029376,0
103.60436360078005,22.560065466556633,1420.2516,14.241322,1631.356148747372,0
103.63912840227547,22.56572485284659,1078.9763,6.541101,14.601363097623013,0
103.93233851101209,22.465203372553614,158.56514,8.029664,2239.141408532149,0
103.92209771677312,22.528804094669276,105.21582,1.8543341,424.9246971647983,0
103.8873329152777,22.481373047667766,117.31727,12.085674,10.010521225401272,0
103.78654194039949,22.65735301182678,159.42952,13.693047,715.1117606888879,0
103.7310260558409,22.47894759640064,1060.9202,11.532086,4638.819869705997,0
103.69733923268642,22.57839109835267,1582.5255,8.036066,2267.403314173162,0
103.90377208497709,22.517215827504135,95.11743,5.0916834,977.6214377265237,0
103.8024421209284,22.62609163993942,195.78107,14.283774,115.9122410715341,0
103.82750511735534,22.571114744551306,345.8521,12.962844,3243.036203852952,0
103.74638724719935,22.606957524387674,975.47864,13.916766,3075.10303849721,0
103.67065926874807,22.43286402232531,1513.078,4.7665806,5342.090114644107,0
103.82157623648015,22.468437307576444,937.85767,12.733014,2804.5244691172766,0
103.7474652255403,22.674061676111403,150.65855,14.029849,1509.171662896921,0
103.71835981033482,22.730655539010932,97.0,0.0,0.06047035682150695,0
103.67416269835614,22.482451026008707,1321.8604,14.803843,982.7362580041031,0
103.62780962969556,22.66624633313956,2222.445,11.818965,4958.114085790582,0
103.74099735549463,22.69831618878263,98.122284,5.0415454,32.699792887604644,0
103.7881589079109,22.513442903310832,1215.0931,13.689554,5483.399688631849,0
103.87062425099307,22.553058607340503,119.00958,2.108447,827.4480179465306,0
103.88221251815821,22.53042106218069,267.72113,13.584495,1157.6160176113585,0
103.63023508096269,22.417772325552104,2730.2834,14.343116,7746.727078484356,0
103.81025746390024,22.56437737992041,302.5167,0.92740995,4332.017815350724,0
103.79705222922368,22.59078784927352,509.57214,14.689554,1194.8539426702914,0
103.80944898014454,22.61504236194475,90.0,4.7342463,19.131109641932262,0
103.60867551414383,22.554945069437153,1500.9937,5.3377147,1534.1902309866587,0
103.7347989800342,22.703975575072583,110.241905,11.256913,162.49962135779379,0
103.77953508118335,22.65923947392343,139.17891,10.06042,942.5551076995152,0
103.58792443108067,22.68861438371414,1708.1007,7.9900804,2021.393642899646,0
103.7318345395966,22.4673593292355,1163.876,5.636477,4098.433374704617,0
103.77872659742765,22.65735301182678,138.0,5.6367207,1153.3209540850248,0
103.581456561035,22.669210773577156,882.2939,10.928739,276.95464699963026,0
103.69248833015217,22.48757142312819,782.72394,11.429095,1727.8948153073247,0
103.63131305930364,22.647651206758287,2067.1174,5.0963273,4439.8874856460725,0
103.6663473553843,22.48811041229866,812.18054,9.247918,4.614199446345382,0
103.8482562004185,22.587284419665455,89.489586,1.8543341,521.4179192411399,0
103.72240222911336,22.49457828234432,925.1821,2.7314188,2810.904107552741,0
